file_name,label,name,generation,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,shiny
0001-Bulbasaur-home.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-anime-04.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-MS8.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-SpriteBack-4.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-dream4.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-anime-02.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-masters.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-masters-icon.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-go.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-dream5.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-3dPro.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-dream6.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-anime-03.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-dun.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-sprite-g7.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-masters-icon-s.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,yes
0001-Bulbasaur-snap.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-dream.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-dream2.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-SpriteBack-2.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-smile.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-stadium.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-masters-s.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,yes
0001-Bulbasaur-BT.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-Sprite-g2.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-dream3.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-SpriteBack-3.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-RB.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,no
0001-Bulbasaur-home-s.png,1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,yes
0002-Ivysaur-battle-rev.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-dream2.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-home-menu.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-dream.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-anime-04.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-sprite-s.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,yes
0002-Ivysaur-SpriteBack-3.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-SpriteBack-2.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-go-s.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,yes
0002-Ivysaur-RB.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-masters.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-SpriteBack-4.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-anime.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
0002-Ivysaur-masters-s.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,yes
0002-Ivysaur-MS8.png,2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,no
